'FacNum','County','Type','City','Name','Total','VacTot','VacPct','CondTot','CondPct','PMETot','PMEPct','PBETot','PBEPct','DTPTot','DTPPct','PolioTot','PolioPct','MMRTot','MMRPct','HIBTot','HIBPct','HepBTot','HepBPct','VariTot','VariPct','ReportYN'
10206034,'ALAMEDA','PUBLIC','HAYWARD','HUSD CHILD DEV. PROGRAM +AC0- HELEN TURNER',286,286,100,0,0,0,0,0,0,286,100,286,100,286,100,286,100,286,100,286,100,'Y'
13417305,'ALAMEDA','HEAD START','OAKLAND','S.S.U.C. +AC0- DE COLORES HEADSTART +ACY- EARLY HEADSTART',245,245,100,0,0,0,0,0,0,245,100,245,100,245,100,245,100,245,100,245,100,'Y'
13420588,'ALAMEDA','PRIVATE','FREMONT','STRATFORD SCHOOL',242,236,98,6,2,1,0,2,1,239,99,242,100,240,99,236,98,242,100,241,100,'Y'
10206134,'ALAMEDA','PRIVATE','FREMONT','KIDANGO +AC0- RIX CENTER',220,207,94,13,6,1,0,3,1,205,93,218,99,214,97,217,99,212,96,209,95,'Y'
10212301,'ALAMEDA','PRIVATE','NEWARK','CHALLENGER SCHOOL',214,209,98,5,2,0,0,0,0,212,99,214,100,214,100,213,100,213,100,213,100,'Y'
13418197,'ALAMEDA','PRIVATE','FREMONT','+ACI-LITTLE FLOWERS MONTESSORI',206,201,98,5,2,0,0,0,0,201,98,206,100,206,100,206,100,206,100,206,100,'Y'
13418196,'ALAMEDA','PRIVATE','DUBLIN','FOUNTAINHEAD MONTESSORI SCHOOL',206,206,100,0,0,0,0,14,7,201,98,198,96,195,95,202,98,195,95,194,94,'Y'
13411303,'ALAMEDA','PRIVATE','PLEASANTON','+ACI-QUARRY LANE SCHOOL',188,173,92,15,8,0,0,5,3,175,93,182,97,178,95,174,93,181,96,179,95,'Y'
13420907,'ALAMEDA','PRIVATE','PLEASANTON','LITTLE FLOWERS MONTESSORI',179,178,99,1,1,0,0,3,2,177,99,177,99,178,99,179,100,176,98,178,99,'Y'
13420604,'ALAMEDA','PRIVATE','FREMONT','LEARN AND PLAY MONTESSORI SCHOOL',171,152,89,19,11,0,0,1,1,156,91,161,94,161,94,160,94,162,95,160,94,'Y'
13420914,'ALAMEDA','PRIVATE','DUBLIN','SCHOOL OF IMAGINATION',163,146,90,17,10,0,0,0,0,161,99,160,98,161,99,163,100,160,98,156,96,'Y'
10206027,'ALAMEDA','PRIVATE','OAKLAND','ST. VINCENT''S DAY HOME',159,159,100,0,0,0,0,0,0,159,100,159,100,159,100,159,100,159,100,159,100,'Y'
