FacNum,County,Type,City,Name,Total,UptodateTot,UptodatePct,CondTot,CondPct,PMETot,PMEPct,PBETot,PBEPct,DTPTot,DTPPct,PolioTot,PolioPct,MMRTot,MMRPct,HIBTot,HIBPct,HEPBTot,HEPBPct,VariTot,VariPct,Report
013419463,ALAMEDA,PRIVATE,HAYWARD,A JOYFUL NOISE LEARNING CENTER,17,15,88,2,12,0,0,0,0,15,88,16,94,16,94,17,100,16,94,16,94,Y
013420589,ALAMEDA,PUBLIC,ALAMEDA,A.U.S.D.- WOODSTOCK CHILD DEVELOPMENT CENTER,75,73,97,1,1,0,0,1,1,74,99,75,100,75,100,74,99,75,100,75,100,Y
013419449,ALAMEDA,PRIVATE,FREMONT,ABC MAGIC MOMENTS PRESCHOOL - IRVINGTON,44,43,98,1,2,0,0,0,0,43,98,43,98,43,98,43,98,43,98,44,100,Y
013417471,ALAMEDA,PRIVATE,FREMONT,"ABC MAGIC MOMENTS,INC. PRESCHOOL/CHILDCARE",28,28,100,0,0,0,0,0,0,28,100,28,100,28,100,28,100,28,100,28,100,Y
013411388,ALAMEDA,PRIVATE,ALAMEDA,ABC PRESCHOOL,26,23,88,3,12,0,0,0,0,25,96,25,96,26,100,26,100,24,92,26,100,Y
013419455,ALAMEDA,PRIVATE,CASTRO VALLEY,"ABC PRESCHOOL AND DAYCARE, LLC",22,0,0,22,100,0,0,0,0,13,59,18,82,22,100,22,100,11,50,19,86,Y
013420975,ALAMEDA,UNKNOWN,OAKLAND,ACADEMIA DE MI ABUELA, ,,,,,,,,,,,,,,,,,,,,,N
013415846,ALAMEDA,PRIVATE,OAKLAND,ACTS FULL GOSPEL CHRISTIAN ACADEMY,40,40,100,0,0,0,0,0,0,40,100,40,100,40,100,40,100,40,100,40,100,Y
013415313,ALAMEDA,PRIVATE,OAKLAND,ACTS FULL GOSPEL CHRISTIAN ACADEMY, ,,,,,,,,,,,,,,,,,,,,,N
013417566,ALAMEDA,PRIVATE,OAKLAND,ADVANCE DAY CARE CENTER,60,60,100,0,0,0,0,0,0,60,100,60,100,60,100,60,100,60,100,60,100,Y
