"","FacNum","County","Type","City.x","Name.x","Total","VacTot","VacPct","CondTot","CondPct","PMETot","PMEPct","PBETot","PBEPct","DTPTot","DTPPct","PolioTot","PolioPct","MMRTot","MMRPct","HIBTot","HIBPct","HepBTot","HepBPct","VariTot","VariPct","ReportYN","PBEPctCalc","Capacity","LicStatus","Name.y","Address","City.y","State","Zipcode","Telephone","lon","lat"
"1",90302253,"EL DORADO","PRIVATE","SOUTH LAKE TAHOE","TAHOE MONTESSORI SCHOOL",39,"38",97,1,3,0,0,3,8,36,92,36,92,37,95,37,95,36,92,37,95,"'Y'",0.0769230769230769,58,"Licensed","TAHOE MONTESSORI HOUSE OF CHILDREN","848 GLORENE AVENUE","SOUTH LAKE TAHOE","CA",96150,"(530) 544-1818",-120.0112589,38.9157497
"2",90303909,"EL DORADO","PRIVATE","PLACERVILLE","COUNTRY DAY MONTESSORI SCHOOL",22,"22",100,0,0,0,0,1,5,21,95,21,95,21,95,21,95,21,95,21,95,"'Y'",0.0454545454545455,27,"Licensed","COUNTRY DAY MONTESSORI SCHOOL","2771 SPEAR STREET","PLACERVILLE","CA",95667,"(530) 626-1202",-120.814012,38.736404
"3",90306363,"EL DORADO","PUBLIC","PLACERVILLE","PLACERVILLE HEAD START/STATE PRESCHOOL./SCHNELL SCH",50,"50",100,0,0,0,0,0,0,50,100,50,100,50,100,50,100,50,100,50,100,"'Y'",0,53,"Licensed","PLACERVILLE HEAD START-STATE PRESCHOOL","2870 SCHNELL SCHOOL ROAD","PLACERVILLE","CA",95667,"(530) 295-4502",-120.779444,38.7353571
"4",90306370,"EL DORADO","PUBLIC","SOUTH LAKE TAHOE","LAKE TAHOE CHILD DEVELOPMENT CENTER",62,"58",94,4,6,0,0,0,0,60,97,60,97,58,94,60,97,60,97,60,97,"'Y'",0,48,"Licensed","LAKE TAHOE CHILD DEVELOPMENT CENTER","3441 SPRUCE AVENUE","SOUTH LAKE TAHOE","CA",96150,"(530) 541-5887",-119.9608724,38.9394002
"5",90308259,"EL DORADO","PRIVATE","PLACERVILLE","HAPPY KIDS PRESCHOOL AND DAY CARE +AC0- COLOMA",29,"29",100,0,0,0,0,0,0,29,100,29,100,29,100,29,100,29,100,29,100,"'Y'",0,30,"Licensed","HAPPY KIDS PRESCHOOL AND DAY CARE - COLOMA","2786 COLOMA STREET","PLACERVILLE","CA",95667,"(530) 626-0344",-120.807887,38.73406
"6",90309074,"EL DORADO","HEAD START","GEORGETOWN","GEORGETOWN HEAD START",22,"22",100,0,0,0,0,0,0,22,100,22,100,22,100,22,100,22,100,22,100,"'Y'",0,42,"Licensed","GEORGETOWN HEAD START","HARKNESS STREET","GEORGETOWN","CA",95634,"(530) 333-2039",-120.8325008,38.9068815
"7",90309152,"EL DORADO","PRIVATE","SHINGLE SPRINGS","HAPPY KIDS PRESCHOOL +ACY- DAY CARE+AC0-PONDEROSA",19,"19",100,0,0,0,0,0,0,19,100,19,100,19,100,19,100,19,100,19,100,"'Y'",0,44,"Licensed","HAPPY KIDS PRESCHOOL & DAY CARE","3900 PONDEROSA ROAD","SHINGLE SPRINGS","CA",95682,"(530) 677-0551",-120.93925,38.665823
"8",90309286,"EL DORADO","PRIVATE","SHINGLE SPRINGS","RAINBOWLAND CHRISTIAN PRESCHOOL",30,"30",100,0,0,0,0,2,7,29,97,30,100,30,100,30,100,29,97,29,97,"'Y'",0.0666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",90311383,"EL DORADO","PRIVATE","CAMERON PARK","HAPPY KIDS PRESCHOOL +ACY- DAY CARE +AC0- CAMBRIDGE",60,"59",98,1,2,0,0,0,0,59,98,59,98,59,98,60,100,60,100,60,100,"'Y'",0,88,"Licensed","HAPPY KIDS PRESCHOOL & DAY CARE - CAMBRIDGE","2635 CAMBRIDGE","CAMERON PARK","CA",95682,"(530) 676-2223",-121.002767,38.696449
"10",90318114,"EL DORADO","PRIVATE","DIAMOND SPRINGS","COUNTRY KIDS DAYCARE AND PRESCHOOL",24,"9",38,15,63,0,0,1,4,8,33,20,83,20,83,23,96,16,67,20,83,"'Y'",0.0416666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",90319030,"EL DORADO","PRIVATE","EL DORADO HILLS","MONTESSORI MANOR",49,"49",100,0,0,0,0,5,10,44,90,45,92,44,90,45,92,44,90,44,90,"'Y'",0.102040816326531,58,"Licensed","MONTESSORI MANOR","2222 FRANCISCO DR.","EL DORADO HILLS","CA",95762,"(916) 933-2420",-121.086961,38.7103342
"12",90319274,"EL DORADO","PRIVATE","SOUTH LAKE TAHOE","HOPE LUTHERAN PRESCHOOL",33,"29",88,4,12,0,0,5,15,27,82,27,82,26,79,28,85,27,82,25,76,"'Y'",0.151515151515152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",90320672,"EL DORADO","PUBLIC","SOUTH LAKE TAHOE","LAKE TAHOE COMMUNITY COLLEGE CHILD DEVEL CTR",46,"43",93,3,7,0,0,4,9,42,91,41,89,40,87,41,89,41,89,41,89,"'Y'",0.0869565217391304,30,"Licensed","LAKE TAHOE COMMUNITY COLLEGE CHILD DEVEL CTR","ONE COLLEGE DR","SOUTH LAKE TAHOE","CA",96150,"(530) 541-4660",-119.9732284,38.9273703
"14",90320884,"EL DORADO","PRIVATE","PLACERVILLE","EL DORADO COUNTY FEDERATED CHURCH PRESCHOOL",38,"38",100,0,0,0,0,1,3,38,100,37,97,38,100,38,100,37,97,38,100,"'Y'",0.0263157894736842,33,"Licensed","EL DORADO COUNTY FEDERATED CHURCH PRESCHOOL","1031 THOMPSON WY","PLACERVILLE","CA",95667,"(530) 622-5226",-120.7945494,38.7286751
"15",90321338,"EL DORADO","PUBLIC","CAMERON PARK","CAMERADO SPRINGS PRESCHOOL",22,"22",100,0,0,0,0,0,0,22,100,22,100,22,100,22,100,22,100,22,100,"'Y'",0,31,"Licensed","CAMERADO SPRINGS HEAD START","2480 MERRYCHASE DRIVE","CAMERON PARK","CA",95682,"(530) 295-4516",-121.005124,38.656687
"16",90321692,"EL DORADO","HEAD START","POLLOCK PINES","PINEWOOD HEAD START",25,"25",100,0,0,0,0,1,4,24,96,24,96,24,96,24,96,24,96,24,96,"'Y'",0.04,20,"Licensed","PINEWOOD HEAD START","6181 PINE ST.","POLLOCK PINES","CA",95726,"(916) 647-0312",-120.5875039,38.7645744
"17",91000101,"EL DORADO","PRIVATE","PLACERVILLE","MONTESSORI CHRISTIAN DAY SCHOOL",16,"15",94,1,6,0,0,0,0,15,94,15,94,16,100,16,100,15,94,16,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",93600737,"EL DORADO","HEAD START","PLACERVILLE","KEN LOWRY CHILD DEVELOPMENT CENTER",89,"88",99,1,1,0,0,3,3,85,96,86,97,86,97,86,97,86,97,86,97,"'Y'",0.0337078651685393,176,"Licensed","KEN LOWRY CHILD DEVELOPMENT CENTER","6767 GREEN VALLEY RD","PLACERVILLE","CA",95667,"(916) 622-7130",-120.866814,38.722023
"19",93601887,"EL DORADO","HEAD START","DIAMOND SPRINGS","CHARLES BROWN STATE PRESCHOOL",24,"24",100,0,0,0,0,0,0,24,100,24,100,24,100,24,100,24,100,24,100,"'Y'",0,72,"Licensed","CHARLES BROWN STATE PRESCHOOL","6520 OAK DELL RD","DIAMOND SPRINGS","CA",95667,"(916) 621-1832",-120.835351,38.680607
"20",93603186,"EL DORADO","PRIVATE","PLACERVILLE","FIRST FRIENDS MONTESSORI",23,"22",96,1,4,0,0,0,0,23,100,23,100,23,100,22,96,23,100,22,96,"'Y'",0,43,"Licensed","FIRST FRIENDS PRESCHOOL","3132 SHERIDAN DR.","PLACERVILLE","CA",95667,"(530) 642-0867",-120.791122,38.727633
"21",93603209,"EL DORADO","PRIVATE","DIAMOND SPRINGS","PLACERVILLE PRESCHOOLERS / KIDS KAMPUS",62,"56",90,6,10,0,0,3,5,57,92,58,94,61,98,61,98,57,92,59,95,"'Y'",0.0483870967741935,60,"Licensed","PLACERVILLE PRESCHOOLERS / KIDS KAMPUS","6556 COMMERCE WAY","DIAMOND SPRINGS","CA",95619,"(530) 626-2570",-120.828494,38.692899
"22",93605023,"EL DORADO","HEAD START","CAMINO","CAMINO HEAD START/STATE PRESCHOOL",24,"24",100,0,0,0,0,0,0,24,100,24,100,24,100,24,100,24,100,24,100,"'Y'",0,48,"Licensed","CAMINO HEAD START/STATE PRESCHOOL","3060 SNOWS ROAD","CAMINO","CA",95709,"(916) 647-2534",-120.678931,38.732815
"23",93605579,"EL DORADO","PRIVATE","COOL","COOL CARE CHILD CARE +ACY- PRESCHOOL",30,"27",90,3,10,0,0,0,0,27,90,30,100,30,100,30,100,30,100,30,100,"'Y'",0,30,"Licensed","COOL CARE CHILD CARE & PRESCHOOL","2966 HIGHWAY 49","COOL","CA",95614,"(530) 889-1119",-121.0161482,38.8885224
"24",93606828,"EL DORADO","PRIVATE","SHINGLE SPRINGS","CAMERON PARK MONTESSORI",34,"29",85,5,15,0,0,1,3,32,94,32,94,33,97,34,100,29,85,31,91,"'Y'",0.0294117647058824,40,"Licensed","CAMERON PARK MONTESSORI","4140 MOTHER LODE","SHINGLE SPRINGS","CA",95682,"(530) 677-1776",-120.9319836,38.6631564
"25",93606933,"EL DORADO","PRIVATE","EL DORADO HILLS","KINDERCARE LEARNING CENTER",71,"19",27,52,73,0,0,1,1,36,51,54,76,51,72,57,80,40,56,44,62,"'Y'",0.0140845070422535,120,"Licensed","KINDERCARE LEARNING CENTER - FRANCISCO (PS)","2220 FRANCISCO DR.","EL DORADO HILLS","CA",95762,"(916) 941-0358",-121.086497,38.711493
"26",93608580,"EL DORADO","PRIVATE","EL DORADO HILLS","KINDERCARE LEARNING CENTER",50,"3",6,47,94,3,6,0,0,41,82,36,72,41,82,48,96,48,96,39,78,"'Y'",0,116,"Licensed","KINDERCARE LEARNING CENTER - PARK (PS)","3959 PARK DR.","EL DORADO HILLS","CA",95762,"(916) 939-0391",-121.068162,38.654581
"27",93608755,"EL DORADO","PRIVATE","SOUTH LAKE TAHOE","LITTLE FLOWER SCHOOL",12,"6",50,6,50,6,50,0,0,5,42,8,67,6,50,7,58,5,42,5,42,"'Y'",0,36,"Licensed","ST. THERESA LITTLE FLOWER SCHOOL","1081 LYONS AVE.","S. LAKE TAHOE","CA",96150,"(530) 544-8944",-119.9757168,38.9378434
"28",93610018,"EL DORADO","PUBLIC","CAMERON PARK","BLUE OAK PRESCHOOL",26,"26",100,0,0,0,0,1,4,25,96,25,96,25,96,25,96,25,96,25,96,"'Y'",0.0384615384615385,24,"Licensed","BLUE OAK PRESCHOOL","2391 MERRYCHASE DR","CAMERON PARK","CA",95682,"(530) 676-0164",-121.0074054,38.6580543
