"","FacNum","County","Type","City.x","Name.x","Total","UptodateTot","UptodatePct","CondTot","CondPct","PMETot","PMEPct","PBETot","PBEPct","DTPTot","DTPPct","PolioTot","PolioPct","MMRTot","MMRPct","HIBTot","HIBPct","HEPBTot","HEPBPct","VariTot","VariPct","Report","PBEPctCalc","Capacity","LicStatus","Name.y","Address","City.y","State","Zipcode","Telephone"
"1",90302253,"EL DORADO","PRIVATE","SOUTH LAKE TAHOE","TAHOE MONTESSORI HOUSE OF CHILDREN, INC.",42,33,79,7,17,0,0,2,5,37,88,37,88,42,100,41,98,38,90,42,100,"Y",0.0476190476190476,58,"Licensed","TAHOE MONTESSORI HOUSE OF CHILDREN","848 GLORENE AVENUE","SOUTH LAKE TAHOE","CA",96150,"(530) 544-1818"
"2",90303909,"EL DORADO","PRIVATE","PLACERVILLE","COUNTRY DAY MONTESSORI SCHOOL",22,21,95,0,0,0,0,1,5,21,95,21,95,21,95,21,95,21,95,21,95,"Y",0.0454545454545455,27,"Licensed","COUNTRY DAY MONTESSORI SCHOOL","2771 SPEAR STREET","PLACERVILLE","CA",95667,"(530) 626-1202"
"3",90306363,"EL DORADO","PUBLIC","PLACERVILLE","PLACERVILLE HEAD START-STATE PRESCHOOL",48,46,96,2,4,0,0,0,0,48,100,48,100,48,100,46,96,48,100,48,100,"Y",0,53,"Licensed","PLACERVILLE HEAD START-STATE PRESCHOOL","2870 SCHNELL SCHOOL ROAD","PLACERVILLE","CA",95667,"(530) 295-4502"
"4",90306370,"EL DORADO","PUBLIC","SOUTH LAKE TAHOE","LAKE TAHOE CHILD DEVELOPMENT CENTER",64,58,91,6,9,0,0,0,0,58,91,59,92,59,92,59,92,59,92,59,92,"Y",0,48,"Licensed","LAKE TAHOE CHILD DEVELOPMENT CENTER","3441 SPRUCE AVENUE","SOUTH LAKE TAHOE","CA",96150,"(530) 541-5887"
"5",90308259,"EL DORADO","PRIVATE","PLACERVILLE","HAPPY KIDS PRESCHOOL AND DAY CARE - COLOMA",30,30,100,0,0,0,0,0,0,30,100,30,100,30,100,30,100,30,100,30,100,"Y",0,30,"Licensed","HAPPY KIDS PRESCHOOL AND DAY CARE - COLOMA","2786 COLOMA STREET","PLACERVILLE","CA",95667,"(530) 626-0344"
"6",90309074,"EL DORADO","HEAD START","GEORGETOWN","GEORGETOWN HEAD START",31,29,94,1,3,0,0,1,3,29,94,29,94,30,97,30,97,30,97,30,97,"Y",0.032258064516129,42,"Licensed","GEORGETOWN HEAD START","HARKNESS STREET","GEORGETOWN","CA",95634,"(530) 333-2039"
"7",90309152,"EL DORADO","PRIVATE","SHINGLE SPRINGS","HAPPY KIDS PRESCHOOL & DAY CARE",15,15,100,0,0,0,0,0,0,15,100,15,100,15,100,15,100,15,100,15,100,"Y",0,44,"Licensed","HAPPY KIDS PRESCHOOL & DAY CARE","3900 PONDEROSA ROAD","SHINGLE SPRINGS","CA",95682,"(530) 677-0551"
"8",90311383,"EL DORADO","PRIVATE","CAMERON PARK","HAPPY KIDS PRESCHOOL & DAY CARE - CAMBRIDGE",65,63,97,1,2,0,0,1,2,63,97,63,97,64,98,64,98,63,97,64,98,"Y",0.0153846153846154,88,"Licensed","HAPPY KIDS PRESCHOOL & DAY CARE - CAMBRIDGE","2635 CAMBRIDGE","CAMERON PARK","CA",95682,"(530) 676-2223"
"9",90319030,"EL DORADO","PRIVATE","EL DORADO HILLS","MONTESSORI MANOR",54,52,96,0,0,0,0,2,4,52,96,52,96,52,96,52,96,52,96,52,96,"Y",0.037037037037037,58,"Licensed","MONTESSORI MANOR","2222 FRANCISCO DR.","EL DORADO HILLS","CA",95762,"(916) 933-2420"
"10",90320884,"EL DORADO","PRIVATE","PLACERVILLE","EL DORADO COUNTY FEDERATED CHURCH PRESCHOOL",39,36,92,0,0,0,0,3,8,39,100,37,95,37,95,39,100,36,92,39,100,"Y",0.0769230769230769,33,"Licensed","EL DORADO COUNTY FEDERATED CHURCH PRESCHOOL","1031 THOMPSON WY","PLACERVILLE","CA",95667,"(530) 622-5226"
"11",90321338,"EL DORADO","PUBLIC","CAMERON PARK","CAMERADO SPRINGS HEAD START",17,17,100,0,0,0,0,0,0,17,100,17,100,17,100,17,100,17,100,17,100,"Y",0,31,"Licensed","CAMERADO SPRINGS HEAD START","2480 MERRYCHASE DRIVE","CAMERON PARK","CA",95682,"(530) 295-4516"
"12",90321692,"EL DORADO","HEAD START","POLLOCK PINES","PINEWOOD HEAD START",22,19,86,2,9,0,0,1,5,21,95,21,95,21,95,19,86,21,95,21,95,"Y",0.0454545454545455,20,"Licensed","PINEWOOD HEAD START","6181 PINE ST.","POLLOCK PINES","CA",95726,"(916) 647-0312"
"13",93600737,"EL DORADO","HEAD START","PLACERVILLE","KEN LOWRY CHILD DEVELOPMENT CENTER",86,78,91,6,7,0,0,2,2,82,95,84,98,84,98,80,93,84,98,84,98,"Y",0.0232558139534884,176,"Licensed","KEN LOWRY CHILD DEVELOPMENT CENTER","6767 GREEN VALLEY RD","PLACERVILLE","CA",95667,"(916) 622-7130"
"14",93601887,"EL DORADO","HEAD START","DIAMOND SPRINGS","CHARLES BROWN STATE PRESCHOOL",23,21,91,1,4,1,4,0,0,23,100,23,100,22,96,22,96,23,100,22,96,"Y",0,72,"Licensed","CHARLES BROWN STATE PRESCHOOL","6520 OAK DELL RD","DIAMOND SPRINGS","CA",95667,"(916) 621-1832"
"15",93603186,"EL DORADO","PRIVATE","PLACERVILLE","FIRST FRIENDS MONTESSORI",29,22,76,6,21,0,0,1,3,24,83,28,97,27,93,28,97,26,90,28,97,"Y",0.0344827586206897,43,"Licensed","FIRST FRIENDS PRESCHOOL","3132 SHERIDAN DR.","PLACERVILLE","CA",95667,"(530) 642-0867"
"16",93603209,"EL DORADO","PRIVATE","DIAMOND SPRINGS","PLACERVILLE PRESCHOOLERS / KID'S KAMPUS",94,89,95,4,4,0,0,1,1,90,96,91,97,91,97,91,97,91,97,90,96,"Y",0.0106382978723404,60,"Licensed","PLACERVILLE PRESCHOOLERS / KIDS KAMPUS","6556 COMMERCE WAY","DIAMOND SPRINGS","CA",95619,"(530) 626-2570"
"17",93605023,"EL DORADO","HEAD START","CAMINO","CAMINO HEAD START/STATE PRESCHOOL",26,25,96,0,0,0,0,1,4,25,96,25,96,25,96,25,96,25,96,25,96,"Y",0.0384615384615385,48,"Licensed","CAMINO HEAD START/STATE PRESCHOOL","3060 SNOWS ROAD","CAMINO","CA",95709,"(916) 647-2534"
"18",93605579,"EL DORADO","PRIVATE","COOL","COOL CARE CHILD CARE & PRESCHOOL",20,19,95,1,5,0,0,0,0,19,95,20,100,20,100,20,100,20,100,20,100,"Y",0,30,"Licensed","COOL CARE CHILD CARE & PRESCHOOL","2966 HIGHWAY 49","COOL","CA",95614,"(530) 889-1119"
"19",93606828,"EL DORADO","PRIVATE","SHINGLE SPRINGS","CAMERON PARK MONTESSORI",27,23,85,3,11,0,0,1,4,26,96,25,93,26,96,25,93,24,89,26,96,"Y",0.037037037037037,40,"Licensed","CAMERON PARK MONTESSORI","4140 MOTHER LODE","SHINGLE SPRINGS","CA",95682,"(530) 677-1776"
"20",93610018,"EL DORADO","PUBLIC","CAMERON PARK","BLUE OAK PRESCHOOL",29,21,72,2,7,1,3,5,17,24,83,24,83,23,79,22,76,24,83,24,83,"Y",0.172413793103448,24,"Licensed","BLUE OAK PRESCHOOL","2391 MERRYCHASE DR","CAMERON PARK","CA",95682,"(530) 676-0164"
"21",93610052,"EL DORADO","HEAD START","RESCUE","RESCUE PRESCHOOL",48,42,88,4,8,0,0,2,4,43,90,46,96,46,96,46,96,45,94,46,96,"Y",0.0416666666666667,49,"Licensed","RESCUE PRESCHOOL","3880 GREEN VALLEY RD.","RESCUE","CA",95672,"(530) 677-6814"
