'FacNum','Capacity','LicStatus','Name','Address','City','State','Zipcode','Telephone'
10200027,75,'Licensed','SUNSET CHRISTIAN PRESCHOOL','2200 ARROYO ROAD','LIVERMORE','CA',94550,'(925) 443-5594'
10200050,119,'Licensed','BERKELEY MONTESSORI SCHOOL','2030 FRANCISCO STREET','BERKELEY','CA',94709,'(510) 849-8340'
10200078,54,'Licensed','BRIGHT WORLD PRESCHOOL','20613 STANTON AVENUE','CASTRO VALLEY','CA',94546,'(510) 581-1580'
10200106,23,'Licensed','CENTERVILLE CHURCH PRESCHOOL','4360 CENTRAL AVENUE','FREMONT','CA',94536,'(510) 797-6757'
10200115,52,'Licensed','CHILDREN''S COMMUNITY CENTER','1140 WALNUT ST','BERKELEY','CA',94707,'(510) 526-9634'
10200119,76,'Licensed','WOODROE WOODS SCHOOL','22502 WOODROE AVE','HAYWARD','CA',94541,'(510) 582-3273'
10200139,54,'Licensed','COMMUNITY CHURCH PRESCHOOL','945 PASEO GRANDE','SAN LORENZO','CA',94580,'(510) 481-1504'
10200219,30,'Licensed','FREMONT CONGREGATIONAL NURSERY SCHOOL','38255 BLACOW ROAD','FREMONT','CA',94536,'(510) 793-3999'
10200263,123,'Licensed','HAPPINESS HILL PRESCHOOL AND DAY CARE','20600 JOHN DRIVE','CASTRO VALLEY','CA',94546,'(510) 537-0773'
10200300,20,'Licensed','HIGHLANDS PRE-SCHOOL','400 HIGHLAND AVENUE','PIEDMONT','CA',94611,'(510) 547-4242'
10200306,75,'Licensed','HOLY CROSS LUTHERAN NURSERY SCHOOL','1020 MOCHO STREET','LIVERMORE','CA',94550,'(925) 447-1864'
10200334,24,'Licensed/Pending Increase','JOHN KNOX CO-OP PRESCHOOL','7421 AMARILLO ROAD','DUBLIN','CA',94568,'(925) 828-2887'
10200356,24,'Licensed','KIDDIE KAMPUS COOPERATIVE PLAY SCHOOL','1711 - 2ND STREET','ALAMEDA','CA',94501,'(510) 521-1218'
10200362,60,'Licensed','KINDERKIRK NURSERY SCHOOL','2020 FIFTH STREET','LIVERMORE','CA',94550,'(925) 455-0793'
10200370,49,'Licensed','LAKESHORE CHILDREN''S CENTER','3518-3546 LAKESHORE AVENUE','OAKLAND','CA',94610,'(510) 893-4048'
10200389,20,'Licensed','LINDA BEACH COOPERATIVE PLAY SCHOOL','400 HIGHLAND AVENUE','PIEDMONT','CA',94611,'(510) 547-4432'
10200592,40,'Licensed','SEQUOIA NURSERY SCHOOL','2666 MOUNTAIN BOULEVARD','OAKLAND','CA',94611,'(510) 531-8853'
10200602,34,'Licensed','SKYLINE PRE-SCHOOL','12540 SKYLINE BOULEVARD','OAKLAND','CA',94619,'(510) 530-0884'
10200607,52,'Licensed','BERKELEY YMCA HEAD START - SOUTH YMCA','2901 CALIFORNIA STREET','BERKELEY','CA',94703,'(510) 848-9092'
10201132,107,'Licensed','FIRST COVENANT TREEHOUSE PRESCHOOL','4000 REDWOOD ROAD','OAKLAND','CA',94619,'(510) 531-0320'
10203130,59,'Licensed','MONTESSORI CHILDREN''S HOUSE OF HAYWARD','26236 ADRIAN AVENUE','HAYWARD','CA',94545,'(510) 782-4427'
10204114,75,'Licensed','OUR SAVIOR LUTHERAN PRESCHOOL','858 WASHINGTON BOULEVARD','FREMONT','CA',94539,'(510) 657-9269'
10204387,24,'Licensed','DANDELION NURSERY SCHOOL','941 THE ALAMEDA','BERKELEY','CA',94707,'(510) 526-1735'
10204414,61,'Licensed','CLAREMONT DAY NURSERIES INC','2845 WOOLSEY AVENUE','BERKELEY','CA',94705,'(510) 654-2511'
10204415,34,'Licensed','CLAREMONT DAY NURSERIES INC','5830 COLLEGE AVE','OAKLAND','CA',94618,'(510) 658-5208'
10204515,156,'Licensed','KIMBER HILLS PRESCHOOL','39700 MISSION BOULEVARD','FREMONT','CA',94539,'(510) 651-5437'
10204860,36,'Licensed','PROGRESSIVE CHRISTIAN CHILDRENS CENTER','1728 ALCATRAZ AVE.','BERKELEY','CA',94703,'(510) 654-6686'
10205169,60,'Licensed','GAN AVRAHAM NURSERY SCHOOL','330 EUCLID','OAKLAND','CA',94610,'(510) 763-7528'
10205449,46,'Licensed','LAKE SCHOOL (THE)','304 LESTER AVENUE','OAKLAND','CA',94606,'(510) 839-4227'
10205609,31,'Licensed','JOY PRESCHOOL AND DAY CARE CENTER','7421 AMARILLO ROAD','DUBLIN','CA',94568,'(925) 829-3233'
10205610,24,'Licensed','PETER PAN CO-OP NURSERY SCHOOL MAXWELL HOUSE','4618 ALLENDALE AVE','OAKLAND','CA',94619,'(510) 261-5210'
10205652,20,'Licensed','OAKLAND HEAD START - FANNIE WALL','647-55TH STREET','OAKLAND','CA',94609,'(510) 658-0960'
10205718,100,'Licensed','ADVENTURES IN LEARNING','3200 HOPYARD ROAD','PLEASANTON','CA',94588,'(925) 462-7123'
10205758,50,'Licensed','NIA HOUSE LEARNING CENTER','2234 - 9TH STREET','BERKELEY','CA',94710,'(510) 845-6099'
10205790,48,'Licensed','ST. LEANDER PRE-KINDERGARTEN','451 DAVIS STREET','SAN LEANDRO','CA',94577,'(510) 351-4144'
10205821,138,'Licensed','VALLEY CHRISTIAN PRESCHOOL','7500 INSPIRATION DRIVE','DUBLIN','CA',94568,'(925) 560-6235'
10205830,24,'Licensed','AGNES MEMORIAL','2372 EAST 14TH STREET','OAKLAND','CA',94601,'(510) 533-1101'
10205961,29,'Licensed','FIRST BAPTIST PRESCHOOL - A KIDS KINGDOM','18550 REDWOOD ROAD','CASTRO VALLEY','CA',94546,'(510) 889-8800'
10205969,22,'Licensed','APPLEGARDEN MONTESSORI SCHOOL','5667 THORNHILL DRIVE','OAKLAND','CA',94611,'(510) 339-9666'
10206014,24,'Licensed','BAYSIDE MONTESSORI ASSOCIATION','1523 WILLOW ST.','ALAMEDA','CA',94501,'(510) 865-6255'
10206027,261,'Licensed','ST. VINCENT''S DAY HOME','1086 8TH STREET','OAKLAND','CA',94607,'(510) 832-8324'
