"","FacNum","County","Type","City.x","Name.x","Total","VacTot","VacPct","CondTot","CondPct","PMETot","PMEPct","PBETot","PBEPct","DTPTot","DTPPct","PolioTot","PolioPct","MMRTot","MMRPct","HIBTot","HIBPct","HepBTot","HepBPct","VariTot","VariPct","ReportYN","PBEPctCalc","Capacity","LicStatus","Name.y","Address","City.y","State","Zipcode","Telephone"
"8",90309286,"EL DORADO","PRIVATE","SHINGLE SPRINGS","RAINBOWLAND CHRISTIAN PRESCHOOL",30,"30",100,0,0,0,0,2,7,29,97,30,100,30,100,30,100,29,97,29,97,"'Y'",0.0666666666666667,NA,NA,NA,NA,NA,NA,NA,NA
"10",90318114,"EL DORADO","PRIVATE","DIAMOND SPRINGS","COUNTRY KIDS DAYCARE AND PRESCHOOL",24,"9",38,15,63,0,0,1,4,8,33,20,83,20,83,23,96,16,67,20,83,"'Y'",0.0416666666666667,NA,NA,NA,NA,NA,NA,NA,NA
"12",90319274,"EL DORADO","PRIVATE","SOUTH LAKE TAHOE","HOPE LUTHERAN PRESCHOOL",33,"29",88,4,12,0,0,5,15,27,82,27,82,26,79,28,85,27,82,25,76,"'Y'",0.151515151515152,NA,NA,NA,NA,NA,NA,NA,NA
"17",91000101,"EL DORADO","PRIVATE","PLACERVILLE","MONTESSORI CHRISTIAN DAY SCHOOL",16,"15",94,1,6,0,0,0,0,15,94,15,94,16,100,16,100,15,94,16,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"30",93610272,"EL DORADO","PRIVATE","EL DORADO HILLS","+ACI-PHOENIX SCHOOL",25,"22",88,3,12,0,0,0,0,24,96,25,100,24,96,25,100,25,100,24,96,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"37",93614058,"EL DORADO","PRIVATE","PLACERVILLE","FAMILY FIRST CHILDRENS CENTER",17,"12",71,5,29,0,0,3,18,9,53,13,76,13,76,11,65,12,71,10,59,"'Y'",0.176470588235294,NA,NA,NA,NA,NA,NA,NA,NA
"68",310309265,"PLACER","PRIVATE","ROSEVILLE","KINDERCARE LEARNING CENTER",25,"19",76,6,24,0,0,0,0,19,76,20,80,19,76,20,80,21,84,21,84,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"70",310310789,"PLACER","PRIVATE","ROSEVILLE","MERRYHILL COUNTRY SCHOOL",96,"43",45,53,55,0,0,1,1,44,46,61,64,55,57,71,74,56,58,53,55,"'Y'",0.0104166666666667,NA,NA,NA,NA,NA,NA,NA,NA
"89",313600854,"PLACER","PRIVATE","ROSEVILLE","LA PETITE ACADEMY+AC0-ROSEVILLE",24,"24",100,0,0,0,0,3,13,24,100,24,100,21,88,24,100,24,100,24,100,"'Y'",0.125,NA,NA,NA,NA,NA,NA,NA,NA
"101",313605651,"PLACER","HEAD START","LOOMIS","+ACI-KIDZKOUNT CHILD DEVELOPMENT CENTER",13,"12",92,1,8,0,0,0,0,12,92,13,100,12,92,13,100,13,100,12,92,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"110",313607170,"PLACER","PUBLIC","AUBURN","AUBURN ELEMENTARY STATE PRESCHOOL",22,"22",100,0,0,0,0,0,0,22,100,22,100,22,100,22,100,22,100,22,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"114",313609275,"PLACER","PRIVATE","ROCKLIN","+ACI-LITTLE ORCHARD PRESCHOOL",29,"29",100,0,0,0,0,2,7,28,97,28,97,27,93,28,97,27,93,28,97,"'Y'",0.0689655172413793,NA,NA,NA,NA,NA,NA,NA,NA
"119",313610639,"PLACER","PRIVATE","LINCOLN","MORNINGSTAR MONTESSORI SCHOOL",25,"19",76,6,24,0,0,2,8,17,68,22,88,23,92,23,92,21,84,23,92,"'Y'",0.08,NA,NA,NA,NA,NA,NA,NA,NA
"129",313614689,"PLACER","HEAD START","LINCOLN","KIDZKOUNT INF TODD DEVEL CTR LINC AND LINC HB",11,"6",55,5,45,0,0,1,9,6,55,10,91,10,91,11,100,9,82,9,82,"'Y'",0.0909090909090909,NA,NA,NA,NA,NA,NA,NA,NA
"131",313615463,"PLACER","PRIVATE","AUBURN","OBRIEN CHILD DEVELOPMENT CENTER",24,"24",100,0,0,0,0,0,0,24,100,24,100,24,100,24,100,24,100,24,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"148",340300085,"SACRAMENTO","PRIVATE","SACRAMENTO","BUSY BEE",68,"56",82,12,18,0,0,1,1,60,88,64,94,67,99,68,100,56,82,63,93,"'Y'",0.0147058823529412,NA,NA,NA,NA,NA,NA,NA,NA
"161",340301511,"SACRAMENTO","PRIVATE","FAIR OAKS","FAIRVALE PRESCHOOL +ACY- DAY CARE",11,"7",64,4,36,0,0,0,0,7,64,11,100,11,100,11,100,11,100,8,73,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"169",340304139,"SACRAMENTO","PRIVATE","FAIR OAKS","FAITH LUTHERAN PRESCHOOL AND DAY CARE CENTER",29,"20",69,9,31,0,0,0,0,23,79,27,93,28,97,29,100,21,72,29,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"199",340309870,"SACRAMENTO","PRIVATE","SACRAMENTO","KINDERCARE (VINTAGE) LEARNING CENTER",49,"25",51,24,49,0,0,0,0,25,51,44,90,46,94,42,86,33,67,36,73,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"211",340313492,"SACRAMENTO","PRIVATE","ELK GROVE","EARLY BEGINNINGS LEARNING CENTER",25,"13",52,12,48,0,0,0,0,14,56,20,80,20,80,20,80,18,72,20,80,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
