"","SchCode","COUNTY","PubPriv","District.x","CITY","Name","Total","UpToDateTot","UpToDatePct","CondTot","CondPct","PMETot","PMEPct","PBETot","PBEPct","DTPTot","DTPPct","PolioTot","PolioPct","MMRTot","MMRPct","HEPBTot","HEPBPct","VariTot","VariPct","REPORTED","PBEPctCalc","CDSCode","County","District.y","School","Street","City","Zip","State","Phone","AdmFName1","AdmLName1","AdmEmail1"
"1",100024,"EL DORADO","PUBLIC","BUCKEYE UNION ELEMENTARY","EL DORADO HILLS","OAK MEADOW ELEMENTARY",123,117,95,0,0,0,0,6,5,117,95,117,95,117,95,117,95,117,95,"Y",0.0487804878048781,"9618380100024","El Dorado","Buckeye Union Elementary","Oak Meadow Elementary","7701 Silva Valley Parkway","El Dorado Hills","95762","CA","(916) 933-9746","Barbara","Narez","bnarez@buckeyeusd.org"
"2",100404,"SACRAMENTO","PUBLIC","FOLSOM-CORDOVA UNIFIED","FOLSOM","SANDRA J. GALLARDO ELEM",87,76,87,0,0,3,3,8,9,76,87,76,87,76,87,76,87,76,87,"Y",0.0919540229885057,"34673300100404","Sacramento","Folsom-Cordova Unified","Sandra J. Gallardo Elementary","775 Russi Road","Folsom","95630","CA","(916) 294-0334","Joan","Cunningham","jcunning@fcusd.org"
"3",100537,"SUTTER","PUBLIC","YUBA CITY UNIFIED","YUBA CITY","ANDROS KARPEROS SCHOOL",105,105,100,0,0,0,0,0,0,105,100,105,100,105,100,105,100,105,100,"Y",0,"51714640100537","Sutter","Yuba City Unified","Andros Karperos","1700 Camino de Flores","Yuba City","95993-5226","CA","(530) 822-4440","Lee","McPeak","lmcpeak@ycusd.k12.ca.us"
"4",101048,"SACRAMENTO","PUBLIC","SACRAMENTO CITY UNIFIED","SACRAMENTO","ST. HOPE PUBLIC SCHOOL 7 (PS7)",47,32,68,11,23,0,0,4,9,37,79,34,72,34,72,43,91,42,89,"Y",0.0851063829787234,"34674390101048","Sacramento","Sacramento City Unified","St. HOPE Public School 7","5201 Strawberry Lane","Sacramento","95820-4815","CA","(916) 649-7850","James","Scheible","jscheible@sthopepublicschools.org"
"5",101295,"SACRAMENTO","PUBLIC","SACRAMENTO CITY UNIFIED","SACRAMENTO","SOL AUREUS COLLEGE PREPARATORY",49,46,94,2,4,0,0,1,2,46,94,46,94,48,98,48,98,48,98,"Y",0.0204081632653061,"34674390101295","Sacramento","Sacramento City Unified","Sol Aureus College Preparatory","6620 Gloria Drive","Sacramento","95831","CA","(916) 421-0600","Norman","Hernandez","nhernandez@me.com"
"6",101766,"SACRAMENTO","PUBLIC","TWIN RIVERS UNIFIED","MCCLELLAN","COMMUNITY OUTREACH ACADEMY",205,64,31,8,4,15,7,118,58,68,33,68,33,66,32,72,35,72,35,"Y",0.575609756097561,"34765050101766","Sacramento","Twin Rivers Unified","Community Outreach Academy","5637 Skvarla Avenue","McClellan","95652-2439","CA","(916) 286-5170","Larissa","Gonchar","larissa.gonchar@twinriversusd.org"
"7",101790,"SACRAMENTO","PUBLIC","ELK GROVE UNIFIED","ELK GROVE","EDNA BATEY ELEMENTARY SCHOOL",120,102,85,14,12,0,0,4,3,103,86,107,89,104,87,113,94,114,95,"Y",0.0333333333333333,"34673140101790","Sacramento","Elk Grove Unified","Edna Batey Elementary","9421 Stonebrook Drive","Elk Grove","95624-6089","CA","(916) 714-5520","Michael","Sompayrac","msompayr@egusd.net"
"8",102277,"SACRAMENTO","PUBLIC","NATOMAS UNIFIED","SACRAMENTO","WITTER RANCH ELEMENTARY SCHOOL",120,92,77,24,20,1,1,3,3,96,80,97,81,94,78,112,93,112,93,"Y",0.025,"34752830102277","Sacramento","Natomas Unified","Witter Ranch Elementary","3790 Poppy Hill Way","Sacramento","95834","CA","(916) 567-5620","Julia","True","jtrue@natomas.k12.ca.us"
"9",102343,"SACRAMENTO","PUBLIC","SACRAMENTO CITY UNIFIED","SACRAMENTO","CAPITOL HEIGHTS ACADEMY",47,37,79,10,21,0,0,0,0,42,89,42,89,43,91,43,91,44,94,"Y",0,"34674390102343","Sacramento","Sacramento City Unified","Aspire Capitol Heights Academy","2520 33rd Street","Sacramento","95817-1943","CA","(916) 739-8520","Mary","Welch","mary.welch@aspirepublicschools.org"
"10",102798,"PLACER","PUBLIC","ROSEVILLE CITY ELEMENTARY","ROSEVILLE","THOMAS JEFFERSON ELEMENTARY SCHOOL",70,65,93,4,6,0,0,1,1,69,99,69,99,67,96,68,97,67,96,"Y",0.0142857142857143,"31669100102798","Placer","Roseville City Elementary","Thomas Jefferson Elementary","750 Central Park Drive","Roseville","95678-3513","CA","(916) 771-1840","Carin","Contreras","carinc@rcsdk8.org"
"11",102806,"PLACER","PUBLIC","ROSEVILLE CITY ELEMENTARY","ROSEVILLE","BLUE OAKS ELEMENTARY SCHOOL",112,105,94,5,4,0,0,2,2,105,94,106,95,107,96,110,98,109,97,"Y",0.0178571428571429,"31669100102806","Placer","Roseville City Elementary","Blue Oaks Elementary","8150 Horncastle Avenue","Roseville","95747","CA","(916) 771-1700","Matt","Murphy","mmurphy@rcsdk8.org"
"12",105908,"SACRAMENTO","PUBLIC","ELK GROVE UNIFIED","ELK GROVE","ARLENE HEIN ELEMENTARY SCHOOL",146,130,89,10,7,0,0,6,4,136,93,136,93,139,95,136,93,137,94,"Y",0.0410958904109589,"34673140105908","Sacramento","Elk Grove Unified","Arlene Hein Elementary","6820 Bellaterra Drive","Elk Grove","95757","CA","(916) 714-0654","Christine","Baeta","cbaeta@egusd.net"
"13",105932,"SACRAMENTO","PUBLIC","ELK GROVE UNIFIED","ELK GROVE","ROY HERBURGER ELEMENTARY SCHOOL",122,116,95,3,2,1,1,2,2,117,96,116,95,118,97,118,97,119,98,"Y",0.0163934426229508,"34673140105932","Sacramento","Elk Grove Unified","Roy Herburger Elementary","8670 Maranello Drive","Elk Grove","95624-4511","CA","(916) 681-1390","Lynne","Mayer","lmayer@egusd.net"
"14",106443,"PLACER","PUBLIC","WESTERN PLACER UNIFIED","LINCOLN","TWELVE BRIDGES ELEMENTARY",114,100,88,6,5,0,0,8,7,101,89,101,89,100,88,106,93,106,93,"Y",0.0701754385964912,"31669510106443","Placer","Western Placer Unified","Twelve Bridges Elementary","2450 Eastridge Drive","Lincoln","95648-8282","CA","(916) 434-5220","Rey","Cubias","rcubias@wpusd.k12.ca.us"
"15",106450,"SACRAMENTO","PUBLIC","TWIN RIVERS UNIFIED","SACRAMENTO","REGENCY PARK ELEM.",152,140,92,3,2,0,0,9,6,141,93,142,93,143,94,142,93,143,94,"Y",0.0592105263157895,"34765050106450","Sacramento","Twin Rivers Unified","Regency Park Elementary","5901 Bridgecross Drive","Sacramento","95835","CA","(916) 566-1660","Timothy","Hammons","tim.hammons@twinriversusd.org"
"16",106898,"SACRAMENTO","PUBLIC","SACRAMENTO CITY UNIFIED","SACRAMENTO","LANGUAGE ACADEMY OF SACRAMENTO",66,65,98,0,0,1,2,0,0,65,98,65,98,65,98,65,98,65,98,"Y",0,"34674390106898","Sacramento","Sacramento City Unified","The Language Academy of Sacramento","2850 49th Street","Sacramento","95817","CA","(916) 277-7137","Eduardo","De Leon","eduardo-deleon@sac-city.k12.ca.us"
"17",107227,"EL DORADO","PUBLIC","BUCKEYE UNION ELEMENTARY","CAMERON PARK","BLUE OAK CHARTER MONTESSORI",60,46,77,3,5,0,0,11,18,46,77,46,77,46,77,49,82,49,82,"Y",0.183333333333333,"9618380107227","El Dorado","Buckeye Union Elementary","Charter Montessori Blue Oak Campus","2391 Merrychase Drive","Cameron Park","95682","CA","(530) 676-0164","David","Roth","droth@buckeyeusd.org"
"18",107318,"SUTTER","PUBLIC","YUBA CITY UNIFIED","YUBA CITY","TWIN RIVERS CHARTER",40,39,98,1,3,0,0,0,0,40,100,40,100,39,98,40,100,40,100,"Y",0,"51714640107318","Sutter","Yuba City Unified","Twin Rivers Charter","840 Cooper Avenue","Yuba City","95991-3849","CA","(530) 755-2872","Bob","Loretelli","bloretelli@twinrcs.org"
"19",107375,"YUBA","PUBLIC","PLUMAS LAKE ELEMENTARY","PLUMAS LAKE","RIO DEL ORO ELEM.",66,63,95,0,0,0,0,3,5,63,95,63,95,63,95,63,95,63,95,"Y",0.0454545454545455,"58727440107375","Yuba","Plumas Lake Elementary","Rio Del Oro Elementary","1220 Zanes Drive","Plumas Lake","95961","CA","(530) 749-0690","Jim","Walters","jwalters@plusd.org"
"20",107946,"SACRAMENTO","PUBLIC","GALT JOINT UNION ELEMENTARY","GALT","LAKE CANYON ELEMENTARY",81,77,95,0,0,0,0,4,5,77,95,77,95,77,95,77,95,77,95,"Y",0.0493827160493827,"34673480107946","Sacramento","Galt Joint Union Elementary","Lake Canyon Elementary","800 Lake Canyon Avenue","Galt","95632","CA","(209) 744-5200","Gina","Fuentes","gfuentes@galt.k12.ca.us"
"21",108050,"PLACER","PUBLIC","ROCKLIN UNIFIED","ROCKLIN","RUHKALA ELEMENTARY",62,51,82,8,13,0,0,3,5,53,85,51,82,53,85,58,94,57,92,"Y",0.0483870967741935,"31750850108050","Placer","Rocklin Unified","Ruhkala Elementary","6530 Turnstone Way","Rocklin","95765","CA","(916) 632-6560","Melody","Thorson","mthorson@rocklin.k12.ca.us"
"22",108258,"EL DORADO","PUBLIC","RESCUE UNION ELEMENTARY","EL DORADO HILLS","LAKEVIEW ELEMENTARY",102,95,93,0,0,0,0,7,7,95,93,95,93,95,93,95,93,95,93,"Y",0.0686274509803922,"9619780108258","El Dorado","Rescue Union Elementary","Lakeview Elementary","3371 Brittany Way","El Dorado Hills","95762","CA","(916) 941-2600","Judy","Chance","jchance@rescueusd.org"
"23",108415,"SACRAMENTO","PUBLIC","TWIN RIVERS UNIFIED","RIO LINDA","HERITAGE PEAK CHARTER",34,17,50,6,18,0,0,11,32,17,50,17,50,19,56,19,56,20,59,"Y",0.323529411764706,"34765050108415","Sacramento","Twin Rivers Unified","Heritage Peak Charter","6450 20th Street","Rio Linda","95673","CA","(866) 992-9033","Paul","Keefer","pkeefer@heritagepeak.org"
"24",108514,"PLACER","PUBLIC","WESTERN PLACER UNIFIED","LINCOLN","FOSKETT RANCH ELEMENTARY",89,86,97,1,1,0,0,2,2,87,98,87,98,86,97,87,98,87,98,"Y",0.0224719101123595,"31669510108514","Placer","Western Placer Unified","Foskett Ranch Elementary","1561 Joiner Parkway","Lincoln","95648-2969","CA","(916) 434-5255","Kelly","Castillo","kcastillo@wpusd.k12.ca.us"
"25",108720,"SACRAMENTO","PUBLIC","ELK GROVE UNIFIED","SACRAMENTO","ADREANI (ARNOLD) ELEMENTARY",81,72,89,3,4,1,1,5,6,72,89,73,90,72,89,75,93,75,93,"Y",0.0617283950617284,"34673140108720","Sacramento","Elk Grove Unified","Arnold Adreani Elementary","9927 Wildhawk West Drive","Sacramento","95829","CA","(916) 525-0630","Leanne","Teuber","lteuber@egusd.net"
"26",108738,"SACRAMENTO","PUBLIC","ELK GROVE UNIFIED","ELK GROVE","CASTELLO (HELEN CARR) ELEMENTARY",134,122,91,9,7,0,0,3,2,124,93,126,94,126,94,129,96,129,96,"Y",0.0223880597014925,"34673140108738","Sacramento","Elk Grove Unified","Helen Carr Castello Elementary","9850 Fire Poppy Drive","Elk Grove","95757","CA","(916) 686-1725","Ilesha","Graham","igraham@egusd.net"
"27",108795,"SACRAMENTO","PUBLIC","TWIN RIVERS UNIFIED","NORTH HIGHLANDS","CREATIVE CONNECTIONS ARTS ACADEMY",49,44,90,5,10,0,0,0,0,44,90,45,92,45,92,47,96,47,96,"Y",0,"34765050108795","Sacramento","Twin Rivers Unified","Creative Connections Arts Academy","7201 Arutas Drive","North Highlands","95660","CA","(916) 566-1870","Elaine","Douglas","elaine.douglas@twinriversusd.org"
"28",108837,"SACRAMENTO","PUBLIC","TWIN RIVERS UNIFIED","MCCLELLAN","COMMUNITY COLLABORATIVE CHARTER",95,30,32,27,28,0,0,38,40,34,36,37,39,33,35,43,45,44,46,"Y",0.4,"34765050108837","Sacramento","Twin Rivers Unified","Community Collaborative Charter","5715 Skvarla Avenue","McClellan","95652","CA","(916) 286-5161","Jon","Campbell","jon.campbell@twinriversusd.org"
"29",108860,"SACRAMENTO","PUBLIC","NATOMAS UNIFIED","SACRAMENTO","WESTLAKE CHARTER",110,89,81,21,19,0,0,0,0,93,85,93,85,89,81,106,96,110,100,"Y",0,"34752830108860","Sacramento","Natomas Unified","Westlake Charter","3800 Del Paso Road","Sacramento","95834","CA","(916) 567-5760","Kate","Burwinkel","kburwinkel@westlakecharter.com"
"30",109793,"SUTTER","PUBLIC","MARCUM-ILLINOIS UNION ELEMENTARY","PLACERVILLE","SOUTH SUTTER CHARTER SCHOOL",136,42,31,0,0,0,0,94,69,42,31,42,31,42,31,42,31,42,31,"Y",0.691176470588235,"51714070109793","Sutter","Marcum-Illinois Union Elementary","South Sutter Charter","2452 El Centro Boulevard","East Nicolaus","95659-9748","CA","(530) 295-3566","Eric","Schoffstall","eschoffstall@ieminc.org"
"31",109827,"PLACER","PUBLIC","NEWCASTLE ELEMENTARY","NEWCASTLE","NEWCASTLE CHARTER",35,26,74,6,17,0,0,3,9,26,74,26,74,26,74,32,91,32,91,"Y",0.0857142857142857,"31668520109827","Placer","Newcastle Elementary","Newcastle Charter","8951 Valley View Drive","Newcastle","95658","CA","(916) 663-3307","Kris","Knutson","kknutson@newcastle.k12.ca.us"
"32",110155,"EL DORADO","PUBLIC","LAKE TAHOE UNIFIED","SOUTH LAKE TAHOE","LAKE TAHOE ENVIROMENTAL SCIENCE MAGNET",67,56,84,6,9,0,0,5,7,61,91,59,88,59,88,61,91,62,93,"Y",0.0746268656716418,"9619030110155","El Dorado","Lake Tahoe Unified","Lake Tahoe Environmental Science Magnet","1095 San Bernardino Avenue","South Lake Tahoe","96150","CA","(530) 543-2371","Joel","Dameral","jdameral@ltuds.org"
"33",111104,"PLACER","PUBLIC","DRY CREEK JOINT ELEMENTARY","ANTELOPE","BARRETT RANCH ELEMENTARY",77,62,81,3,4,0,0,12,16,65,84,65,84,62,81,65,84,65,84,"Y",0.155844155844156,"31668030111104","Placer","Dry Creek Joint Elementary","Barrett Ranch Elementary","7720 Ocean Park Drive","Antelope","95843","CA","(916) 770-8839","Don","Vu","dvu@drycreek.k12.ca.us"
"34",111112,"SACRAMENTO","PUBLIC","ELK GROVE UNIFIED","ELK GROVE","CARROLL ELEMENTARY",144,123,85,20,14,0,0,1,1,133,92,133,92,129,90,140,97,143,99,"Y",0.00694444444444444,"34673140111112","Sacramento","Elk Grove Unified","Carroll Elementary","10325 Stathos Drive","Elk Grove","95757","CA","(916) 714-0106","Paul","Hauder","phauder@egusd.net"
"35",111138,"SACRAMENTO","PUBLIC","NATOMAS UNIFIED","SACRAMENTO","HERON SCHOOL",99,86,87,7,7,0,0,6,6,86,87,87,88,87,88,92,93,92,93,"Y",0.0606060606060606,"34752830111138","Sacramento","Natomas Unified","Heron","5151 Banfield Drive","Sacramento","95835","CA","(916) 567-5680","Marcia","Bernard","mbernard@natomas.k12.ca.us"
"36",111161,"SUTTER","PUBLIC","NUESTRO ELEMENTARY","SIMI VALLEY","CALIFORNIA VIRTUAL ACADEMY @ SUTTER",36,21,58,0,0,0,0,15,42,21,58,21,58,21,58,21,58,21,58,"Y",0.416666666666667,"51714230111161","Sutter","Nuestro Elementary","California Virtual Academy @ Sutter","2360 Shasta Way, Unit A","Simi Valley","93065","CA","","","",""
"37",111278,"SACRAMENTO","PUBLIC","FOLSOM-CORDOVA UNIFIED","RANCHO CORDOVA","NAVIGATOR ELEMENTARY",86,77,90,1,1,0,0,8,9,78,91,78,91,77,90,78,91,78,91,"Y",0.0930232558139535,"34673300111278","Sacramento","Folsom-Cordova Unified","Navigator Elementary","10679 Bear Hollow Drive","Rancho Cordova","95670","CA","(916) 294-2420","Carole","Vargas","cvargas@fcusd.org"
"38",111401,"YOLO","PUBLIC","DAVIS JOINT UNIFIED","DAVIS","FRED T. KOREMATSU ELEMENTARY SCHOOL AT MACE RANCH",59,56,95,0,0,0,0,3,5,56,95,56,95,56,95,56,95,56,95,"Y",0.0508474576271186,"57726780111401","Yolo","Davis Joint Unified","Fred T. Korematsu Elementary School at Mace Ranch","3100 Loyola Drive","Davis","95616","CA","(530) 757-5358","Mary","Ponce","mponce@djusd.k12.ca.us"
"39",111724,"EL DORADO","PUBLIC","BUCKEYE UNION ELEMENTARY","SHINGLE SPRINGS","CALIFORNIA MONTESSORI PROJECT-SHINGLE SPRINGS",42,37,88,3,7,0,0,2,5,39,93,38,90,40,95,40,95,40,95,"Y",0.0476190476190476,"9618380111724","El Dorado","Buckeye Union Elementary","California Montessori Project-Shingle Springs Campus","4645 Buckeye Road","Shingle Springs","95682-9505","CA","(530) 672-3095","Kim","Zawilski","kzawilski@cacmp.org"
"40",111732,"SACRAMENTO","PUBLIC","ELK GROVE UNIFIED","ELK GROVE","CALIFORNIA MONTESSORI PROJECT - ELK GROVE",39,35,90,2,5,1,3,1,3,36,92,36,92,35,90,36,92,37,95,"Y",0.0256410256410256,"34673140111732","Sacramento","Elk Grove Unified","California Montessori Project - Elk Grove Campus","8828 Elk Grove Boulevard, Suite 4","Elk Grove","95624-1875","CA","(916) 714-9699","Kathleen","Merz","kmerz@cacmp.org"
