"","SchCode","COUNTY","PubPriv","District.x","CITY","School.x","Total","UptodateTot","UptodatePct","CondTot","CondPct","PMETot","PMEPct","PBETot","PBEPct","DTPTot","DTPPct","PolioTot","PolioPct","MMRTot","MMRPct","HEPBTot","HEPBPct","VariTot","VariPct","Reported","PBEPctCalc","CDSCode","County","District.y","School.y","Street","City","Zip","State","Phone"
"1",100024,"EL DORADO","PUBLIC","BUCKEYE UNION ELEMENTARY","EL DORADO HILLS","OAK MEADOW ELEMENTARY",109,90,83,0,0,0,0,19,17,90,83,90,83,90,83,90,83,90,83,"Y",0.174311926605505,"9618380100024","El Dorado","Buckeye Union Elementary","Oak Meadow Elementary","7701 Silva Valley Parkway","El Dorado Hills","95762","CA","(916) 933-9746"
"2",100404,"SACRAMENTO","PUBLIC","FOLSOM-CORDOVA UNIFIED","FOLSOM","SANDRA J. GALLARDO ELEMENTARY",80,71,89,0,0,0,0,9,11,71,89,71,89,71,89,71,89,71,89,"Y",0.1125,"34673300100404","Sacramento","Folsom-Cordova Unified","Sandra J. Gallardo Elementary","775 Russi Road","Folsom","95630","CA","(916) 294-0334"
"3",100537,"SUTTER","PUBLIC","YUBA CITY UNIFIED","YUBA CITY","ANDROS KARPEROS",139,138,99,0,0,0,0,1,1,138,99,138,99,138,99,138,99,138,99,"Y",0.00719424460431655,"51714640100537","Sutter","Yuba City Unified","Andros Karperos","1700 Camino de Flores","Yuba City","95993-5226","CA","(530) 822-4440"
"4",101048,"SACRAMENTO","PUBLIC","SACRAMENTO CITY UNIFIED","SACRAMENTO","ST. HOPE PUBLIC SCHOOL 7",50,45,90,2,4,0,0,3,6,45,90,45,90,45,90,47,94,47,94,"Y",0.06,"34674390101048","Sacramento","Sacramento City Unified","St. HOPE Public School 7","5201 Strawberry Lane","Sacramento","95820-4815","CA","(916) 649-7850"
"5",101295,"SACRAMENTO","PUBLIC","SACRAMENTO CITY UNIFIED","SACRAMENTO","SOL AUREUS COLLEGE PREPARATORY",48,46,96,1,2,0,0,1,2,46,96,46,96,46,96,47,98,47,98,"Y",0.0208333333333333,"34674390101295","Sacramento","Sacramento City Unified","Sol Aureus College Preparatory","6620 Gloria Drive","Sacramento","95831","CA","(916) 421-0600"
"6",101766,"SACRAMENTO","PUBLIC","TWIN RIVERS UNIFIED","MCCLELLAN","COMMUNITY OUTREACH ACADEMY",167,53,32,1,1,4,2,109,65,53,32,53,32,53,32,53,32,53,32,"Y",0.652694610778443,"34765050101766","Sacramento","Twin Rivers Unified","Community Outreach Academy","5637 Skvarla Avenue","McClellan","95652-2439","CA","(916) 286-5170"
"7",101790,"SACRAMENTO","PUBLIC","ELK GROVE UNIFIED","ELK GROVE","EDNA BATEY ELEMENTARY",117,113,97,2,2,0,0,2,2,113,97,113,97,113,97,115,98,115,98,"Y",0.0170940170940171,"34673140101790","Sacramento","Elk Grove Unified","Edna Batey Elementary","9421 Stonebrook Drive","Elk Grove","95624-6089","CA","(916) 714-5520"
"8",102277,"SACRAMENTO","PUBLIC","NATOMAS UNIFIED","SACRAMENTO","WITTER RANCH ELEMENTARY",152,117,77,31,20,1,1,3,2,121,80,128,84,122,80,142,93,144,95,"Y",0.0197368421052632,"34752830102277","Sacramento","Natomas Unified","Witter Ranch Elementary","3790 Poppy Hill Way","Sacramento","95834","CA","(916) 567-5620"
"9",102343,"SACRAMENTO","PUBLIC","SACRAMENTO CITY UNIFIED","SACRAMENTO","ASPIRE CAPITOL HEIGHTS ACADEMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,"34674390102343","Sacramento","Sacramento City Unified","Aspire Capitol Heights Academy","2520 33rd Street","Sacramento","95817-1943","CA","(916) 739-8520"
"10",102798,"PLACER","PUBLIC","ROSEVILLE CITY ELEMENTARY","ROSEVILLE","THOMAS JEFFERSON ELEMENTARY",85,83,98,0,0,1,1,1,1,83,98,83,98,83,98,83,98,83,98,"Y",0.0117647058823529,"31669100102798","Placer","Roseville City Elementary","Thomas Jefferson Elementary","750 Central Park Drive","Roseville","95678-3513","CA","(916) 771-1840"
"11",102806,"PLACER","PUBLIC","ROSEVILLE CITY ELEMENTARY","ROSEVILLE","BLUE OAKS ELEMENTARY",123,104,85,14,11,2,2,3,2,107,87,110,89,105,85,112,91,118,96,"Y",0.024390243902439,"31669100102806","Placer","Roseville City Elementary","Blue Oaks Elementary","8150 Horncastle Avenue","Roseville","95747","CA","(916) 771-1700"
"12",105908,"SACRAMENTO","PUBLIC","ELK GROVE UNIFIED","ELK GROVE","ARLENE HEIN ELEMENTARY",151,139,92,9,6,0,0,3,2,144,95,146,97,144,95,145,96,147,97,"Y",0.0198675496688742,"34673140105908","Sacramento","Elk Grove Unified","Arlene Hein Elementary","6820 Bellaterra Drive","Elk Grove","95757","CA","(916) 714-0654"
"13",105932,"SACRAMENTO","PUBLIC","ELK GROVE UNIFIED","ELK GROVE","ROY HERBURGER ELEMENTARY",117,114,97,0,0,1,1,2,2,114,97,114,97,114,97,114,97,114,97,"Y",0.0170940170940171,"34673140105932","Sacramento","Elk Grove Unified","Roy Herburger Elementary","8670 Maranello Drive","Elk Grove","95624-4511","CA","(916) 681-1390"
"14",106443,"PLACER","PUBLIC","WESTERN PLACER UNIFIED","LINCOLN","TWELVE BRIDGES ELEMENTARY",128,121,95,3,2,2,2,2,2,121,95,121,95,121,95,122,95,121,95,"Y",0.015625,"31669510106443","Placer","Western Placer Unified","Twelve Bridges Elementary","2450 Eastridge Drive","Lincoln","95648-8282","CA","(916) 434-5220"
"15",106450,"SACRAMENTO","PUBLIC","TWIN RIVERS UNIFIED","SACRAMENTO","REGENCY PARK ELEMENTARY",154,140,91,12,8,0,0,2,1,147,95,148,96,145,94,148,96,152,99,"Y",0.012987012987013,"34765050106450","Sacramento","Twin Rivers Unified","Regency Park Elementary","5901 Bridgecross Drive","Sacramento","95835","CA","(916) 566-1660"
"16",106757,"SACRAMENTO","PUBLIC","FOLSOM-CORDOVA UNIFIED","FOLSOM","FOLSOM CORDOVA K-8 COMMUNITY CHARTER",10,9,90,0,0,0,0,1,10,9,90,9,90,9,90,9,90,9,90,"Y",0.1,"34673300106757","Sacramento","Folsom-Cordova Unified","Folsom Cordova K-8 Community Charter","715 Riley Street","Folsom","95630","CA","(916) 985-2239"
