AffidavitID,County,CDSCode,School ,Street,City,State,Zip,Telephone,Email ,PublicDistrict,SiteAdministratorSalutation,SiteAdministratorFirstName,SiteAdministratorLastName,SiteAdministratorTitle,SiteAdministratorEmail,Total Enrollment,Religious Classification,Religious Denomination
129465,Alameda,01611506141592,A Shepherd's Heart Christian School,225 West Winton Avenue Suite 116,Castro Valley,CA,94546,510-581-8081,keithallen7@hotmail.com,Castro Valley Unified,Mr.,Don,Moschella,Headmaster,,31,Religious,Interdenominational
116583,Alameda,01611436972533,Academy The,2722 Benvenue Avenue,Berkeley,CA,94705,510-549-0605,theacademyk-8@comcast.net,Berkeley Unified,Mrs.,Laura,Knight,Other,lauraknight@theacademyk-8.com,71,Non-religious,
131704,Alameda,01612597082266,Acts Christian Academy,1034 66th Avenue,Oakland,CA,94621,510-568-3333,sdavis@actsfullgospel.org,Oakland Unified,Dr.,Doris,Limbrick,President,drlimbrick@actsfullgospel.org,106,Religious,Other
118054,Alameda,01611196967434,Alameda Christian,2226 Pacific Avenue,Alameda,CA,94501,510-523-1000,alamedachristian@yahoo.com,Alameda City Unified,Mrs.,Jean,Busby,Principal,alamedachristian@yahoo.com,46,Religious,Interdenominational
117432,Alameda,01611926965909,All Saints Catholic School,22870 Second Street,Hayward,CA,94541,510-582-1910,jdiaz@csdo.org,Hayward Unified,Ms.,jennifer,Diaz,Principal,jdiaz@csdo.org,203,Religious,Roman Catholic
119086,Alameda,01611767103799,Alsion Montessori Middle/High,750 Witherly Lane,Fremont,CA,94539,510-445-8878,info@alsion.org,Fremont Unified,Ms.,Rosemary,Petersen,Head of School,alsion.rosemary@comcast.net,73,Non-religious,
130043,Alameda,01611436135743,American International Montessori School,3339 Martin Luther King Jr. Way,Berkeley,CA,94703,510-868-1815,office@AIMmontessori.com,Berkeley Unified,Mr.,Ernest,Mahr,Director,office@AIMmontessori.com,50,Non-religious,
118818,Alameda,01611506133441,Anchor Education Inc.,19234 Lake Chabot Road,Castro Valley,CA,94546,510-247-9235,aeischool@sbcglobal.net,Castro Valley Unified,Mr.,Stuart,Fussell,Director,stuart@stuartfussell.com,11,Non-religious,
131414,Alameda,01611436932768,Archway School,1970 Virginia Street,Berkeley,CA,94709,510-849-4747,bdshoup@gmail.com,Berkeley Unified School District,Mr.,Bruce,Shoup,Head of School,bruce@archway.org,41,Non-religious,
119200,Alameda,01612916972574,Assumption,1851 136th Avenue,San Leandro,CA,94578,510-357-8772,plyons@csdo.org,San Leandro Unified,Ms.,Pamela,Lyons,Principal,plyons@csdo.org,287,Religious,Roman Catholic
