County,CDSCode,School ,Street,City,State,Zip,Telephone,PublicDistrict
Alameda,01611506141592,A Shepherd's Heart Christian School,225 West Winton Avenue Suite 116,Castro Valley,CA,94546,510-581-8081,Castro Valley Unified
Alameda,01611436972533,Academy The,2722 Benvenue Avenue,Berkeley,CA,94705,510-549-0605,Berkeley Unified
Alameda,,Agape Christian Academy,6210 A Civic Terrace Avenue,Newark,CA,94560,510-745-7181,Newark Unified School District
Alameda,01611196967434,Alameda Christian,2226 Pacific Avenue,Alameda,CA,94501,510-523-1000,Alameda City Unified
Alameda,01611926965909,All Saints Catholic School,22870 Second Street,Hayward,CA,94541,510-582-1910,Hayward Unified
Alameda,01611767103799,Alsion Montessori Middle/High,750 Witherly Lane,Fremont,CA,94539,510-445-8878,Fremont Unified
Alameda,01611506133441,Anchor Education Inc.,19234 Lake Chabot Road,Castro Valley,CA,94546,510-247-9235,Castro Valley Unified
Alameda,07617966932917,Applied Scholastics Academy East Bay,2050 Lincoln Avenue,Alameda,CA,94501,510-748-0428,Alameda Unified
Alameda,01611436932768,Archway School,1940 Virginia Street,Berkeley,CA,94709,510-849-4747,Berkeley Unified
Alameda,01612916972574,Assumption,1851 136th Avenue,San Leandro,CA,94578,510-357-8772,San Leandro Unifed
Alameda,01611766142459,Averroes High School,43174 Osgood Road,Fremont,CA,94539,510-423-2052,Fremont Unified
Alameda,01612590117002,Bayhill High School,521 Boden Way,Oakland,CA,94610,510-268-1500,Oakland Unified School District
Alameda,01611926975999,Bayside Seventh-day Adventist Christian,26400 Gading Road,Hayward,CA,94544,510-785-1313,Hayward Unified
Alameda,01612596928725,Beacon School,2101 Livingston Street,Oakland,CA,94606,510-436-4466,Oakland Unified
Alameda,01611436142236,Berkeley Rose School,2138 Cedar Street,Berkeley,CA,94709,510-859-7679,Alameda Unified
Alameda,01611767089451,Bethel Christian Academy,36060 Fremont Boulevard,Fremont,CA,94536,510-795-1234,Fremont Unified
Alameda,01612596932784,Bishop O'Dowd High School,9500 Stearns Avenue,Oakland,CA,94605,510-577-9100,Oakland Unified
Alameda,01613096972624,Calvary Lutheran Elementary,17200 Via Magdalena,San Lorenzo,CA,94580,510-278-2598,San Lorenzo Unified
Alameda,01611506906556,Camelot School,2330 Pomar Vista,Castro Valley,CA,94546,510-481-1304,San Lorenzo Unified
Alameda,01612007047467,Celebration Academy,1135 Bluebell Drive,Livermore,CA,94551,925-455-4250,Livermore Valley Joint Unified
Alameda,01612347091234,Challenger - Newark,39600 Cedar Boulevard,Newark,CA,94560,510-770-1771,Newark Unified
Alameda,01612347055411,Challenger–Ardenwood,35487 Dumbarton Court,Newark,CA,94560,510-739-0300,Newark Unified
Alameda,01611196143754,Chinese Christian High School,1501 Harbor Bay Parkway,Alameda,CA,94502,510-995-5333,Alameda Unified
Alameda,01611196204697,Chinese Christian Schools–Alameda,1801 North Loop Road,Alameda,CA,94502,510-522-0200,Alameda Unified
Alameda,01613096932800,Chinese Christian Schools–San Leandro,750 Fargo Avenue,San Leandro,CA,94579,510-351-4957,San Lorenzo Unified
Alameda,01612756972632,Corpus Christi Elementary,One Estates Drive,Piedmont,CA,94611,510-530-4056,Piedmont City Unified
Alameda,,Da Vinci Center for Gifted Children,472 Taylor Avenue,Alameda,CA,94501,510-219-9410,Alameda
Alameda,01612596145726,Doulos Academy,152 Taurus Avenue,Oakland,CA,94611,510-601-5222,Oakland Unified
Alameda,01612597095292,Dr. Herbert Guice Christian Academy,6925 International Boulevard,Oakland,CA,94621,510-729-0330,Oakland Unified
Alameda,01611436900757,Ecole Bilingue De Berkeley,1009 Heinz Avenue,Berkeley,CA,94710,510-549-3867,Berkeley Unified
Alameda,01612596138184,Escuela Bilingüe Internacional,410 Alcatraz Avenue,Oakland,CA,94609,510-653-3324,Oakland Unified
Alameda,01612596909832,Fred Finch–Oakland Hills Academy,3800 Coolidge Avenue,Oakland,CA,94602,510-482-2244,Oakland Unified
