CDSCode,StatusType,County,District,School,Street,City,Zip,State,Phone,Ext,Website,Latitude,Longitude,AdmFName1,AdmLName1,AdmEmail1
09618380000000,Active,El Dorado,Buckeye Union Elementary,,1665 Blackstone Parkway,El Dorado Hills,95762,CA,(530) 677-2261,,www.buckeyeusd.org,38.5242700,-120.91190,David,Roth,droth@buckeyeusd.org
09618460000000,Active,El Dorado,Camino Union Elementary,,3060 Snows Road,Camino,95709-9578,CA,(530) 644-4552,213,www.caminoschool.org,38.5919900,-120.67522,Eric,Bonniksen,ebonniksen@caminoschool.org
09618530000000,Active,El Dorado,El Dorado Union High,,4675 Missouri Flat Road,Placerville,95667-6816,CA,(530) 622-5081,,www.eduhsd.k12.ca.us,38.5490399,-120.82299,Chris,Hoffman,choffman@eduhsd.net
09618610000000,Closed,El Dorado,Georgetown Divide Union Elemen,,PO Box 368,Georgetown,95634,CA,,,,,,,,
09618790000000,Active,El Dorado,Gold Oak Union Elementary,,3171 Pleasant Valley Road,Placerville,95667-7836,CA,(530) 626-3150,,www.gousd.org,38.5353100,-120.77365,Wendy,Neade,wneade@gousd.org
09618870000000,Active,El Dorado,Gold Trail Union Elementary,,1575 Old Ranch Road,Placerville,95667-8929,CA,(530) 626-3194,,www.gtusd.org,38.6258600,-120.92726,Joe,Murchison,jmurchison@gtusd.org
09618950000000,Active,El Dorado,Indian Diggings Elementary,,6020 Omo Ranch Road,Somerset,95684-9209,CA,(530) 620-6546,,www.edcoe.k12.ca.us/districts/idsd.html,38.4198900,-120.54864,Grant,Coffin,gcoffin@edcoe.org
09619030000000,Active,El Dorado,Lake Tahoe Unified,,1021 Al Tahoe Boulevard,South Lake Tahoe,96150-4426,CA,(530) 541-2850,,www.ltusd.org,38.7777400,-119.96120,James,Tarwater,jtarwater@ltusd.org
09619110000000,Active,El Dorado,Latrobe,,7900 South Shingle Road,Shingle Springs,95682-8026,CA,(530) 677-0260,,www.latrobeschool.com,38.5116999,-120.93658,Jean,Pinotti,jpinotti@latrobeschool.com
09619290000000,Active,El Dorado,Mother Lode Union Elementary,,3783 Forni Road,Placerville,95667-6207,CA,(530) 622-6464,,www.mlusd.net,38.5639400,-120.82992,Marcy,Guthrie,mguthrie@mlusd.net
